Date,Close,High,Low,Open,Volume
2020-01-02,72.62084198,72.68128883,71.3732182,71.627092,135480400
2020-01-03,71.91482544,72.67645428,71.68996493,71.84712526,146322800
2020-01-06,72.48784637,72.52653324,70.78324847,71.03470938,118387200
2020-01-07,72.14693451,72.75381577,71.92690712,72.49752176,108872000
2020-01-08,73.30750275,73.60973692,71.84952541,71.84952541,132079200
2020-01-09,74.86462402,75.05805097,74.03529512,74.28674867,170108400
2020-01-10,75.03388214,75.59967116,74.53096759,75.09916946,140644800
2020-01-13,76.63691711,76.66351756,75.23213319,75.35061401,121532000
2020-01-14,75.60207367,76.78441746,75.47876713,76.57406363,161954400
2020-01-15,75.27807617,76.28391248,74.84527473,75.40139009,121923600
2020-01-16,76.22103882,76.33226631,75.45941017,75.82209118,108829200
2020-01-17,77.064888,77.06730086,76.16301849,76.47008578,137816400
2020-01-21,76.54265594,77.13503078,76.40483533,76.69256299,110843200
2020-01-22,76.81586456,77.36955243,76.72156393,77.02863129,101832400
2020-01-23,77.18579865,77.26558524,76.32019557,76.86905772,104472000
2020-01-24,76.96333313,78.17710301,76.77231905,77.43240119,146537600
2020-01-27,74.7002182,75.38205304,73.71614174,74.96859867,161940000
2020-01-28,76.81342316,76.98509011,75.48359274,75.58272644,162234000
2020-01-29,78.42129517,79.26997098,77.7056068,78.44789561,216229200
2020-01-30,78.30770874,78.36090228,77.06975804,77.50255969,126743200
2020-01-31,74.83562469,78.0199608,74.54064376,77.59683282,199588400
2020-02-03,74.63009644,75.79792628,73.07298506,73.57589958,173788400
2020-02-04,77.09390259,77.28491667,75.83177225,76.23797325,136616400
2020-02-05,77.72254944,78.52286501,77.11808104,78.22304366,118826800
2020-02-06,78.63166809,78.63408833,77.43482504,77.99335327,105425600
2020-02-07,77.56286621,78.37962239,77.0708732,78.12999062,117684000
2020-02-10,77.93123627,77.93123627,76.06505958,76.14503551,109348800
2020-02-11,77.46104431,78.50077573,77.24292075,78.42807034,94323200
2020-02-12,79.30058289,79.30542745,77.91185063,77.91185063,113730400
2020-02-13,78.73586273,79.06305175,78.36747646,78.57105893,94747600
2020-02-14,78.75526428,79.00489599,78.24630435,78.70436311,80113600
2020-02-18,77.31323242,77.49500334,76.24926307,76.43103399,152531200
2020-02-19,78.43291473,78.66316079,77.55556855,77.55556855,93984000
2020-02-20,77.62831879,78.68259188,77.12178457,78.19302474,100566000
2020-02-21,75.87117004,77.66464883,75.25315195,77.22112369,129554000
2020-02-24,72.26725769,73.72142483,70.09812948,72.04428954,222195200
2020-02-25,69.81939697,73.32151856,69.34679717,72.93859119,230673600
2020-02-26,70.92701721,72.19456919,69.43649703,69.44376757,198054800
2020-02-27,66.29063416,69.31530466,66.15491247,68.12773623,320605600
2020-02-28,66.25186157,67.47579021,62.13414669,62.34985173,426510000
2020-03-02,72.4199295,73.05734047,67.3085341,68.41370027,341397200
2020-03-03,70.11994934,73.67781024,69.26683312,73.5978343,319475600
2020-03-04,73.37242889,73.53238818,71.04334126,71.84555626,219178400
2020-03-05,70.99246216,72.59931107,70.6264943,71.6225955,187572800
2020-03-06,70.04963684,70.48346533,68.15922299,68.3458384,226176800
2020-03-09,64.50928497,67.39822639,63.7409967,63.9227676,286744800
2020-03-10,69.15533447,69.42193324,65.28482634,67.16797734,285290000
2020-03-11,66.7535553,68.15682896,65.88832389,67.22858866,255598800
2020-03-12,60.16131592,65.43751995,60.10557388,62.02992228,418474000
2020-03-13,67.36914063,67.84174791,61.30526258,64.1990595,370732000
2020-03-16,58.70231247,62.79094135,58.16669255,58.63929619,322423600
2020-03-17,61.28346252,62.4346747,57.77891741,59.98682843,324056000
2020-03-18,59.78323746,60.59030071,57.46868723,58.11094664,300233600
2020-03-19,59.32518387,61.27861487,58.79926042,59.95774685,271857200
2020-03-20,55.55888367,61.03382237,55.25835444,59.90684055,401693200
